                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1.197,                0.79938,                 1.2141,                0.83451,                0.89969,                0.87965,                0.50161,                  1.623,                0.93191,                 1.4877,             0.00057778,             0.00057778,             0.00057778
                     68,                  1.181,                0.71916,                 1.1462,                0.87283,                0.89192,                0.89157,                0.50921,                 1.6089,                0.91865,                 1.4901,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2159,                0.71934,                 1.1378,                0.82532,                0.90767,                0.93195,                0.51829,                 1.5774,                0.87063,                 1.4837,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1067,                0.66991,                 1.1263,                0.82532,                0.90767,                0.93195,                0.51829,                 1.5774,                0.87063,                 1.4837,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0673,                0.71082,                 1.1549,                0.86357,                0.90577,                0.94243,                0.51195,                 1.5939,                0.83788,                 1.4931,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1217,                0.72049,                 1.1307,                 0.8542,                0.90676,                0.93318,                 0.5156,                 1.5827,                0.81415,                 1.4821,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1141,                 0.6791,                 1.0851,                0.89598,                0.85309,                0.92366,                0.50919,                 1.5672,                0.81636,                 1.4885,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0775,                0.68755,                 1.1564,                0.89598,                0.85309,                0.92366,                0.50919,                 1.5672,                0.81636,                 1.4885,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0831,                0.63686,                 1.0768,                0.89502,                0.88587,                0.92883,                0.51803,                 1.5507,                 0.8405,                  1.485,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1222,                0.65645,                 1.0791,                0.85882,                0.86508,                0.88901,                0.50775,                 1.6004,                0.91872,                  1.517,             0.00042925,             0.00042925,             0.00042925
